id,简介,小区,户型,面积,关注人数,观看次数,发布时间,房价,单价/平,城区,经度,纬度
2395,凯旋城三居室，东西通透，看房方便。,凯旋城 , 3室2厅 , 160.52 ,142,121, 4个月以前发布,1250.0,77872,朝阳,116.426534,40.002876
2396,嘉美风尚平层大四居，正南正北正看小区花园,嘉美风尚中心 , 4室2厅 , 239.4 ,134,83, 3个月以前发布,1380.0,57645,朝阳,116.488479,39.993976
2397,澳林春天三期 满五年3居 低楼层户型好 看房方便,澳林春天三期 , 3室2厅 , 138.03 ,52,55, 25天以前发布,1280.0,92734,朝阳,116.379711,40.017883
2398,德式组团4居室 精装带地暖 南北通透 满5年 免个税,阳光上东 , 4室2厅 , 181.75 ,142,74, 2个月以前发布,1630.0,89684,朝阳,116.490525,39.97146
2399,翠成馨园C区 明卫格局 一梯两户 带车位 ,翠成馨园 , 2室1厅 , 87.83 ,72,36, 18天以前发布,475.0,54082,朝阳,116.517963,39.86507
2400,花家地西里一区板楼两居 南北通透 中间层 客厅带窗户,花家地西里一区 , 2室1厅 , 67.08 ,97,59, 23天以前发布,498.0,74240,朝阳,116.467922,39.993105
2401,高家园，南北向三居，带客厅，户型好，诚心出售,高家园二区 , 2室1厅 , 80.41 ,37,33, 25天以前发布,530.0,65913,朝阳,116.491575,39.984428
2402,金地名京 2室2厅 900万,金地名京 , 2室2厅 , 120.1 ,42,33, 25天以前发布,900.0,74938,朝阳,116.503568,39.916109
2403,季景沁园 2室1厅 920万,季景沁园 , 2室1厅 , 111.22 ,57,39, 19天以前发布,920.0,82719,朝阳,116.463876,40.001253
2404,鹿港嘉苑 3室1厅 1200万,鹿港嘉苑 , 3室1厅 , 126.88 ,48,32, 23天以前发布,1200.0,94578,朝阳,116.463539,39.987791
2405,朝阳新城五区 南北通透 中间楼层 业主诚售,朝阳新城五区 , 2室1厅 , 86.11 ,161,81, 25天以前发布,450.0,52259,朝阳,116.566117,39.956661
2406,农光里 3室1厅 560万,农光里 , 3室1厅 , 88.72 ,239,44, 22天以前发布,560.0,63120,朝阳,116.472064,39.88768
2407,世安家园 3室1厅 650万,世安家园 , 3室1厅 , 107.39 ,40,37, 27天以前发布,650.0,60528,朝阳,116.463907,40.007017
2408,兴隆家园三期 东南两居室 满五年没有其他房产,兴隆家园 , 2室1厅 , 95.41 ,52,48, 19天以前发布,568.0,59533,朝阳,116.530553,39.921425
2409,小关北里 南北通透 大客厅一居室 精装修 朝南无遮挡,小关北里 , 1室1厅 , 57.91 ,47,40, 29天以前发布,465.0,80298,朝阳,116.422403,39.987661
2410,正规2居室，总价低，满五年，业主名下一套房，有钥匙,双兴小区 , 2室1厅 , 68.93 ,65,31, 30天以前发布,425.0,61657,朝阳,116.499479,39.928739
2411,世纪村东区 3室1厅 655万,世纪村东区 , 3室1厅 , 92.93 ,46,47, 22天以前发布,655.0,70484,朝阳,116.436169,40.001247
2412,苹果北区70年大产权Loft 民水民电带燃气 南向阳光房。,苹果社区北区 , 2室2厅 , 65.54 ,136,38, 29天以前发布,768.0,117181,朝阳,116.476546,39.905624
2413,季景沁园新上南向三居  无遮挡  阳光房 看房方便,季景沁园 , 3室2厅 , 138.69 ,75,75, 1个月以前发布,1200.0,86524,朝阳,116.463876,40.001253
2414,都市心海岸，高厅三错层大两居，有钥匙看房方便,都市心海岸 , 2室2厅 , 125.62 ,125,92, 2个月以前发布,870.0,69257,朝阳,116.473169,39.994603
2415,季景沁园  朝小区花园   高楼层     三居室   ,季景沁园 , 3室2厅 , 157.57 ,45,123, 3个月以前发布,1200.0,76157,朝阳,116.463876,40.001253
2416,风林绿洲 南北三居 满五名下就一套 采光充足 ,风林绿洲 , 3室2厅 , 191 ,37,72, 3个月以前发布,1580.0,82723,朝阳,116.390064,40.007825
2417,东一时区，南北三居，满五年，采光足,东一时区 , 3室1厅 , 121 ,213,142, 2个月以前发布,600.0,49587,朝阳,116.612765,39.905006
2418,全新精装  三面通透  明厨明卫  实测50平大客厅 ,芳馨园 , 3室2厅 , 191.15 ,66,78, 一年前发布,1600.0,83704,朝阳,116.441336,39.963162
2419,东润枫景一期 3室2厅 875万,东润枫景一期 , 3室2厅 , 140.95 ,218,183, 10个月以前发布,875.0,62079,朝阳,116.504432,39.960357
2420,东一时区，南北三居，满五年，采光足,东一时区 , 3室1厅 , 121 ,213,142, 2个月以前发布,600.0,49587,朝阳,116.612765,39.905006
2421,马甸经典家园 3室1厅 1120万,马甸经典家园 , 3室1厅 , 150.05 ,82,51, 8个月以前发布,1120.0,74642,朝阳,116.388522,39.985964
2422,满五年，仅契税南北通透，高楼层，视野宽阔，采光充足,国风北京一期 , 2室2厅 , 120.44 ,42,66, 3个月以前发布,1020.0,84690,朝阳,116.492991,40.000253
2423,绿荫芳邻二居客厅朝南主卧室朝南小卧室朝北满五年,绿荫芳邻 , 2室2厅 , 133.76 ,413,97, 3个月以前发布,800.0,59809,朝阳,116.483888,40.004499
2424,小区复式四居 户型方正 南北通透 采光好,CLASS , 4室2厅 , 236 ,211,72, 2个月以前发布,2200.0,93221,朝阳,116.487866,40.011938
2425,国奥村顶层三居 已加建  采光充足,国奥村 , 3室2厅 , 202.09 ,95,52, 2个月以前发布,2500.0,123708,朝阳,116.38483,40.014138
2426,中广业主诚意出售两居室，有钥匙，免税,中广宜景湾 , 2室2厅 , 107.24 ,78,199, 6个月以前发布,920.0,85789,朝阳,116.461153,39.994177
2427,安贞西里 南北通透‘80筑2’采光好 楼下是花园 环境好,安贞西里 , 2室1厅 , 60.81 ,156,80, 2个月以前发布,500.0,82224,朝阳,116.404579,39.978491
2428,花家地南里  两居室 看房方便 满五年商品房,花家地南里 , 2室1厅 , 60.33 ,277,177, 3个月以前发布,380.0,62987,朝阳,116.476921,39.983744
2429,东直门双南大两居，楼层高也是好,柳芳北里 , 2室1厅 , 66.9 ,157,187, 3个月以前发布,468.0,69956,朝阳,116.446047,39.964131
2430,6号线褡裢坡150米 南向两居 看房方便 诚意出售,定福家园2号院 , 2室1厅 , 89.54 ,463,106, 1个月以前发布,435.0,48582,朝阳,116.57395,39.92878
2431,上元君庭，大两居，满5年，无个税，带花园，诚心出售,上元君庭 , 2室1厅 , 128.98 ,49,46, 1个月以前发布,920.0,71329,朝阳,116.419162,40.031546
2432,钥匙房 中间层 满五年公房无个税 此房不临街,南湖东园一区 , 2室1厅 , 94.01 ,101,88, 1个月以前发布,605.0,64355,朝阳,116.471931,40.008739
2433,精装婚房 电梯三居室 视野开阔,三源里街 , 3室1厅 , 76.3 ,284,140, 3个月以前发布,540.0,70774,朝阳,116.459186,39.959951
2434,南北通透 三居室 不临街 中间楼层,朝阳新城二区 , 3室1厅 , 123.05 ,168,120, 4个月以前发布,560.0,45510,朝阳,116.563698,39.953429
2435,望春园三居  诚心出售  随时签约,北苑家园望春园 , 3室4厅 , 148.68 ,191,100, 7个月以前发布,749.0,50377,朝阳,116.42537,40.052808
2436,宝星园 西南向三居低楼层 满五年,宝星园一区 , 3室2厅 , 125.57 ,61,105, 7个月以前发布,960.0,76452,朝阳,116.485616,40.006096
2437,华纺精装修两居 南向阳光房 诚意出售稳定签约,华纺易城 , 2室1厅 , 108.47 ,73,78, 2个月以前发布,850.0,78363,朝阳,116.52013,39.936383
2438,阳光上东澳洲 通透两居 精装 满五年 无个税 诚售,阳光上东 , 2室2厅 , 163.59 ,66,123, 2个月以前发布,1380.0,84358,朝阳,116.490525,39.97146
2439,一梯两户 低板楼 通透户型 不临街,大西洋新城B区 , 3室1厅 , 132.39 ,181,155, 1个月以前发布,1200.0,90642,朝阳,116.474112,39.997308
2440,免个税 随时看房 东西通透 无浪费 中间层 无遮挡,慧谷阳光 , 2室2厅 , 92.87 ,29,60, 1个月以前发布,850.0,91526,朝阳,116.485379,40.009067
2441,定福家园大两居  满五年 地铁6号线褡裢坡,定福家园1号院 , 2室1厅 , 97.41 ,190,56, 2个月以前发布,450.0,46197,朝阳,116.578532,39.928987
2442,西坝河中里 4室1厅 515万,西坝河中里 , 4室1厅 , 73.45 ,140,59, 26天以前发布,515.0,70116,朝阳,116.446167,39.969777
2443,小复式，满五年在京无二套，高层采光视野棒，看花园,后现代城 , 1室1厅 , 79.5 ,94,27, 27天以前发布,530.0,66667,朝阳,116.493655,39.905367
2444,风度柏林  新装修  送50平米露台  东向两居,风度柏林 , 2室1厅 , 87.99 ,69,33, 26天以前发布,675.0,76714,朝阳,116.483671,39.895896
2445,育慧里一区 89.13平大2居 可以改3居 交通方便,育慧里一区 , 2室1厅 , 89.13 ,74,34, 29天以前发布,596.0,66869,朝阳,116.437122,39.996635
2446,三元桥  新源街 三居室 户型方正 诚意出售  随时签约,新源街 , 3室1厅 , 69.4 ,42,27, 25天以前发布,570.0,82133,朝阳,116.46028,39.957618
2447,南北通透 带客厅 满五年公房 中间层 ,曙光里 , 2室1厅 , 56.08 ,50,37, 17天以前发布,408.0,72754,朝阳,116.457117,39.971046
2448,安慧里西南三居 两卫 中间楼层 户型方正 满五年 ,安慧里四区 , 3室2厅 , 116.81 ,44,24, 17天以前发布,900.0,77049,朝阳,116.419299,39.99709
2449,南北通透 板楼三居 不临街 满五年 诚心出售,北苑家园茉藜园 , 3室1厅 , 127.67 ,49,25, 16天以前发布,760.0,59529,朝阳,116.430562,40.045549
2450,双花园西南三居 满五年 免个税  芳草地国际小学,双花园南里二区 , 3室1厅 , 116.41 ,26,38, 1个月以前发布,920.0,79032,朝阳,116.458573,39.905492
2451,美立方 南北通透 两居室 满五年,美立方 , 2室2厅 , 87.28 ,80,43, 1个月以前发布,550.0,63016,朝阳,116.425063,40.044097
2452,满五年，仅契税南北通透，高楼层，视野宽阔，采光充足,国风北京一期 , 2室2厅 , 121.09 ,19,28, 2个月以前发布,1050.0,86713,朝阳,116.492991,40.000253
2453,珠江帝景毛坯大复式，观小区花园！,珠江帝景 , 7室2厅 , 247.74 ,223,81, 6个月以前发布,1800.0,72657,朝阳,116.486709,39.895879
2454,鹿港嘉苑 2室1厅 800万,鹿港嘉苑 , 2室1厅 , 87.9 ,14,33, 17天以前发布,800.0,91013,朝阳,116.463539,39.987791
2455,华严北里2号院 2室1厅 560万,华严北里2号院 , 2室1厅 , 69.12 ,46,45, 22天以前发布,560.0,81019,朝阳,116.389861,39.987427
2456,欧陆经典 3室1厅 925万,欧陆经典 , 3室1厅 , 105.91 ,37,26, 23天以前发布,925.0,87339,朝阳,116.425978,40.002211
2457,双井时代国际朝南满五年业主在京一台住宅两居室,时代国际嘉园 , 2室2厅 , 108.77 ,21,23, 28天以前发布,898.0,82560,朝阳,116.471348,39.90062
2458,融科橄榄城一期 3室1厅 1500万,融科橄榄城一期 , 3室1厅 , 144.74 ,33,44, 29天以前发布,1500.0,103635,朝阳,116.491708,40.003156
2459,后现代城精装复式，诚意出售，看房方便,后现代城 , 2室1厅 , 96.46 ,46,25, 30天以前发布,650.0,67386,朝阳,116.493655,39.905367
2460,力鸿花园 2居可改3居 带15平露台 2卫生间 可拎包入住,力鸿花园 , 2室2厅 , 118.9 ,30,28, 22天以前发布,880.0,74012,朝阳,116.446371,39.964132
2461,安慧北里逸园 2室1厅 700万,安慧北里逸园 , 2室1厅 , 101.7 ,42,39, 8个月以前发布,700.0,68830,朝阳,116.421876,40.008585
2462,百子湾家园 南向两居 业主诚意出售,百子湾家园一区 , 2室1厅 , 100 ,95,36, 1个月以前发布,525.0,52500,朝阳,116.516836,39.906378
2463,此房为二期观景户型，通透大两居,东湖湾二期 , 2室2厅 , 146.74 ,35,141, 3个月以前发布,1400.0,95407,朝阳,116.469248,40.012773
2464,可签约 南向 不临街 带圆弧飘窗 满五年 随时看,鹿港嘉苑 , 2室2厅 , 94.36 ,204,208, 6个月以前发布,850.0,90081,朝阳,116.463539,39.987791
2465,嘉铭桐城 高楼层景观房 满五年一套房 嘉铭陈经纶,嘉铭桐城F区 , 3室1厅 , 123 ,30,61, 1个月以前发布,1250.0,101627,朝阳,116.431358,40.009996
2466,北苑家园清友园  2居2卫  528万,北苑家园清友园 , 2室2厅 , 94.76 ,117,63, 1个月以前发布,528.0,55720,朝阳,116.434388,40.0451
2467,09年新社区，东南景观3居，低税费，距离地铁350米,紫薇天悦 , 3室2厅 , 149 ,31,60, 1个月以前发布,1200.0,80537,朝阳,116.433356,40.005811
2468,建东苑 东西通透小两居 中楼层 随时看房 ,建东苑 , 2室2厅 , 71.15 ,85,47, 1个月以前发布,358.0,50317,朝阳,116.588913,39.922146
2469,芍药居 塔楼西南向2居 看房随时,芍药居 , 2室1厅 , 60.97 ,166,53, 1个月以前发布,480.0,78728,朝阳,116.443182,39.990399
2470,茉藜园板楼2居 有钥匙 客厅带阳台双卧直接采光,北苑家园茉藜园 , 2室2厅 , 118.6 ,23,99, 4个月以前发布,660.0,55650,朝阳,116.430562,40.045549
2471,安华里一区 3室1厅 545万,安华里一区 , 3室1厅 , 65.94 ,178,129, 1个月以前发布,545.0,82651,朝阳,116.411853,39.974368
2472,亚奥人家 3室2厅 998万,亚奥人家 , 3室2厅 , 158.77 ,100,63, 1个月以前发布,998.0,62859,朝阳,116.390643,39.997027
2473,满五年 只有契税 看小区 位置安静,珠江帝景 , 3室1厅 , 116.17 ,119,102, 1个月以前发布,1150.0,98993,朝阳,116.486709,39.895879
2474,南湖渠三巷6号院 3室1厅 590万,南湖渠三巷6号院 , 3室1厅 , 90.71 ,99,36, 1个月以前发布,590.0,65043,朝阳,116.462536,39.996423
2475,茉藜园板楼2居 有钥匙 客厅带阳台双卧直接采光,北苑家园茉藜园 , 2室2厅 , 118.6 ,23,99, 4个月以前发布,660.0,55650,朝阳,116.430562,40.045549
2476,北苑 南北通透三居 板楼带电梯 满五年无个税 社区安静,城市绿洲花园 , 3室2厅 , 138.68 ,233,155, 3个月以前发布,878.0,63312,朝阳,116.437132,40.029448
2477,房子户型通透，满五年，看房随时有钥匙，业主稳定签约,大西洋新城D区 , 3室2厅 , 122.72 ,58,175, 3个月以前发布,1100.0,89635,朝阳,116.473987,39.998614
2478,望京北纬 南北通透 无税房 明厨明卫 看房方便,北纬40度二期 , 2室2厅 , 102.35 ,180,204, 3个月以前发布,870.0,85003,朝阳,116.471754,40.02946
2479,西坝河东里 双南向 中间层 两居室 采光好 满五年,西坝河东里 , 2室1厅 , 61.12 ,149,186, 3个月以前发布,422.0,69045,朝阳,116.451506,39.972611
2480,南湖东园二区 南向两居室 自己住,南湖东园二区 , 2室1厅 , 69.9 ,224,348, 3个月以前发布,535.0,76538,朝阳,116.471987,40.005241
2481,南北通透三居室 户型方正 诚意出售,汇园公寓 , 3室1厅 , 133.14 ,168,128, 3个月以前发布,1000.0,75109,朝阳,116.411493,40.000186
2482,满五年，南向，带露台，业主诚售,万象新天四区 , 2室1厅 , 93.8 ,665,503, 3个月以前发布,530.0,56504,朝阳,116.598911,39.932527
2483,朝阳公园华阳家园两居室，满五年，业主诚售！,华阳家园 , 2室1厅 , 100.09 ,45,53, 3个月以前发布,710.0,70937,朝阳,116.481447,39.937145
2484,小区好位置 前后看花园 大三居室！值得一看,望京西园三区 , 3室1厅 , 136.12 ,148,269, 3个月以前发布,850.0,62445,朝阳,116.482018,40.004978
2485,青年汇佳园 1室1厅 440万,青年汇佳园 , 1室1厅 , 57.85 ,160,130, 3个月以前发布,448.0,77442,朝阳,116.521988,39.927428
2486,满五年，南北通透，人车分流，交通便利,泰华滨河苑 , 2室2厅 , 104.53 ,83,86, 4个月以前发布,700.0,66967,朝阳,116.504655,39.965482
2487,地铁沿线新小区，南北通透格局好，交通便利,美立方 , 2室1厅 , 98 ,91,86, 10个月以前发布,575.0,58674,朝阳,116.425063,40.044097
2488,可签约 南向 不临街 带圆弧飘窗 满五年 随时看,鹿港嘉苑 , 2室2厅 , 94.36 ,204,208, 6个月以前发布,850.0,90081,朝阳,116.463539,39.987791
2489,满5年 东南向2居 出行便利 业主诚意出售,京棉新城 , 2室1厅 , 83.95 ,157,100, 2个月以前发布,470.0,55986,朝阳,116.511679,39.923959
2490,高层景观2个卧室朝南房本满五年有钥匙,朝庭公寓 , 3室1厅 , 142 ,31,45, 2个月以前发布,1300.0,91550,朝阳,116.490032,39.993487
2491,户型方正 高楼层 视野好 采光棒 交通便利,北苑家园莲葩园 , 2室1厅 , 112 ,18,70, 2个月以前发布,626.0,55893,朝阳,116.427682,40.050832
2492,电子城西南两居，中间楼层，无遮挡,电子城小区 , 2室1厅 , 90.33 ,247,156, 2个月以前发布,460.0,50925,朝阳,116.509975,39.970471
2493,金福家园 南北三居室 户型方正,金福家园 , 3室2厅 , 134.98 ,173,45, 2个月以前发布,550.0,40747,朝阳,116.559909,39.925896
2494,【西南向两居室】【大客厅带电梯】【有门禁有管理】,朝阳门南大街 , 2室1厅 , 76.57 ,270,148, 2个月以前发布,620.0,80972,朝阳,116.442322,39.922354
2495,南北通透大三居，满五年名下无其他房产。业主好说话,望京西园三区 , 3室2厅 , 152.94 ,184,262, 3个月以前发布,840.0,54924,朝阳,116.482018,40.004978
2496,南北通透 正规二居室 70年产权,立城苑 , 2室1厅 , 104.78 ,46,92, 3个月以前发布,620.0,59172,朝阳,116.421985,40.058455
2497,茉藜园西南两居 98.78平米 580万,北苑家园茉藜园 , 2室1厅 , 98.78 ,59,79, 2个月以前发布,580.0,58717,朝阳,116.430562,40.045549
2498,精装南向高层两居室 换房诚意出售,时代国际嘉园 , 2室2厅 , 109.06 ,42,66, 2个月以前发布,950.0,87109,朝阳,116.471348,39.90062
2499,自住装修  中高楼层  诚心出售  户型方正,北苑家园望春园 , 2室1厅 , 94 ,48,77, 2个月以前发布,600.0,63830,朝阳,116.42537,40.052808
2500,高层观景 看朝阳公园 保养好 税费低 接受贷款,观湖国际 , 3室1厅 , 175.44 ,48,54, 2个月以前发布,1570.0,89490,朝阳,116.49983,39.94453
2501,太平庄南里 3室1厅 540万,太平庄南里 , 3室1厅 , 66.15 ,51,69, 1个月以前发布,540.0,81633,朝阳,116.451391,39.943064
2502,沿海赛洛城 2室1厅 640万,沿海赛洛城 , 2室1厅 , 101.45 ,142,111, 1个月以前发布,640.0,63086,朝阳,116.51159,39.903448
2503,京贸国际公寓 3室1厅 540万,京贸国际公寓 , 3室1厅 , 121.49 ,93,124, 1个月以前发布,540.0,44449,朝阳,116.629595,39.911506
2504,凤凰城大三居 南北通透 税费低 高层观景！！！,凤凰城一期 , 3室2厅 , 191.24 ,84,70, 2个月以前发布,1420.0,74253,朝阳,116.459197,39.967298
2505,嘉润花园 经典三居室 业主诚意出售,嘉润花园 , 3室2厅 , 131.78 ,96,56, 2个月以前发布,788.0,59797,朝阳,116.485296,39.991732
2506,朝阳外国语学校，慧忠里 东南向两居室 ,慧忠里 , 2室1厅 , 59.99 ,49,63, 2个月以前发布,545.0,90849,朝阳,116.409266,40.003413
2507,望京西园一区 南北向 板楼 满5年 诚意出售,望京西园一区 , 2室2厅 , 99.96 ,42,68, 2个月以前发布,650.0,65027,朝阳,116.482231,40.009521
2508,融科三期两居室，南向，业主诚心出售,融科橄榄城三期 , 2室1厅 , 95.36 ,44,70, 2个月以前发布,1050.0,110110,朝阳,116.491708,40.003156
2509,合生国际花园  南北三居 明厨明卫,合生国际花园 , 3室2厅 , 146.56 ,61,62, 1个月以前发布,1350.0,92113,朝阳,116.464603,39.905054
2510,上东三角洲 南北通透三居室 高楼层 业主诚心出售,上东三角洲 , 3室1厅 , 139.93 ,45,65, 2个月以前发布,760.0,54313,朝阳,116.511419,39.981872
2511,芍药居 塔楼西南向2居 看房随时,芍药居 , 2室1厅 , 60.97 ,167,53, 1个月以前发布,480.0,78728,朝阳,116.443182,39.990399
2512,珠江绿洲 3室1厅 700万,珠江绿洲 , 3室1厅 , 144.13 ,89,50, 1个月以前发布,700.0,48568,朝阳,116.566325,39.914057
2513,朝庭公寓两居室 满五且一套房 安静不临街 餐客厅分离,朝庭公寓 , 2室1厅 , 112.18 ,37,50, 4个月以前发布,850.0,75772,朝阳,116.490032,39.993487
2514,朝庭公寓南向一居室，高层，满五年，只有契税,朝庭公寓 , 1室1厅 , 67.76 ,34,64, 2个月以前发布,670.0,98879,朝阳,116.490032,39.993487
2515,北苑家园   精装修   西南  两居室   随时看   随时签,北苑家园绣菊园南区 , 2室2厅 , 97.36 ,51,114, 3个月以前发布,550.0,56492,朝阳,116.428732,40.048486
2516,丰和园 南向 高层两居室 诚心出售,丰和园 , 2室2厅 , 93.34 ,26,64, 1个月以前发布,1250.0,133920,朝阳,116.451309,39.979002
2517,三丰里小区/南北向/中间楼层/采光充足,三丰里小区 , 2室1厅 , 57.33 ,74,94, 1个月以前发布,480.0,83726,朝阳,116.445284,39.925343
2518,沿海赛洛城 一室一厅 满五年 业主在北京有一套房子,美利山 , 1室1厅 , 52 ,175,61, 2个月以前发布,368.0,70770,朝阳,116.511545,39.904464
2519,中间层  双卧室朝南 小区环境好 安静 适合老人居住,裕民路1号院 , 2室1厅 , 50.33 ,61,55, 1个月以前发布,458.0,91000,朝阳,116.398206,39.979381
2520,西南两居 客厅带大阳台 采光视野棒 只有契税 有钥匙,世纪宝鼎 , 2室2厅 , 138.44 ,16,29, 1个月以前发布,920.0,66455,朝阳,116.443732,39.998028
2521,奥体东门南北通透两居室 小区安静带花园满五年,安苑东里一区 , 2室1厅 , 59.61 ,46,39, 1个月以前发布,440.0,73814,朝阳,116.420136,39.989832
2522,高层俯览奥森公园，南北通透，送产权车位,世茂奥临花园 , 4室2厅 , 252.53 ,205,140, 6个月以前发布,1980.0,78407,朝阳,116.410445,40.040689
2523,安贞西里 南北通透两居室 采光好 业主诚心出售,安贞西里 , 2室1厅 , 56.86 ,74,67, 1个月以前发布,450.0,79142,朝阳,116.404579,39.978491
2524,立城苑小区，步行400米到城铁立水桥站，靠谱出售。,立城苑 , 2室1厅 , 94.96 ,46,29, 2个月以前发布,520.0,54760,朝阳,116.421985,40.058455
2525,精装修西向两居室，采光视野好！,世纪东方城 , 2室2厅 , 96.3 ,22,45, 1个月以前发布,630.0,65421,朝阳,116.501958,39.882586
2526,双柳巷、南北通透两居  低楼层  ,双柳巷 , 2室1厅 , 75.14 ,227,94, 4个月以前发布,398.0,52968,朝阳,116.587018,39.912749
2527,花园社区 华腾园 正规两居 有地下车位、储藏间,华腾园 , 2室1厅 , 89.2 ,96,77, 2个月以前发布,665.0,74552,朝阳,116.471849,39.89331
2528,珠江帝景新区南北4居室满五年精装修不临街看花园,珠江帝景新博悦 , 3室2厅 , 151.18 ,81,42, 1个月以前发布,1365.0,90290,朝阳,116.490651,39.895343
2529,满五年无个税高层观景，视野开阔，采光充足,保利嘉园一号院 , 2室1厅 , 88.38 ,101,12, 25天以前发布,380.0,42997,朝阳,116.613977,39.936277
2530,东大桥小区 有钥匙 随时看房 满五年公房,东大桥路 , 3室0厅 , 71.5 ,47,11, 21天以前发布,500.0,69931,朝阳,116.456697,39.922284
2531,沿海赛洛城 南北通透两居室 诚意出售,沿海赛洛城 , 2室1厅 , 98.38 ,39,14, 15天以前发布,680.0,69120,朝阳,116.51159,39.903448
2532,南北通透   08年商品房   地采暖,隆远阁 , 2室1厅 , 96.12 ,63,28, 18天以前发布,740.0,76988,朝阳,116.439095,39.983437
2533,万象四区南向两居 全天采光 中高楼层 满五年诚意出售,万象新天四区 , 2室1厅 , 90.9 ,75,36, 23天以前发布,585.0,64357,朝阳,116.598911,39.932527
2534,南北通透三居，只有契税，通透采光好，安静不临街,南沙滩小区 , 3室1厅 , 77.68 ,73,23, 28天以前发布,608.0,78270,朝阳,116.382525,40.005332
2535,朝阳新城五区 3室1厅 580万,朝阳新城五区 , 3室1厅 , 118.25 ,23,23, 19天以前发布,580.0,49049,朝阳,116.566117,39.956661
2536,国美第一城2号院 2室1厅 532万,国美第一城2号院 , 2室1厅 , 78.42 ,31,22, 18天以前发布,532.0,67840,朝阳,116.518854,39.939588
2537,柏林爱乐 明厨明卫  正规一居室,柏林爱乐三期 , 1室1厅 , 66.47 ,85,58, 24天以前发布,393.0,59125,朝阳,116.59503,39.92974
2538,可签约  带花园  满五年南北通透大三居,奥林匹克花园二期 , 3室2厅 , 140.58 ,31,22, 21天以前发布,1150.0,81804,朝阳,116.548246,39.969542
2539,新天地全南两居 不临街 免征个税,北京新天地 , 2室2厅 , 91.75 ,72,21, 23天以前发布,530.0,57766,朝阳,116.609957,39.91983
2540,银领国际东南两居室 看房方便诚意出售,银领国际 , 2室1厅 , 110.5 ,19,23, 19天以前发布,780.0,70589,朝阳,116.461949,40.003018
2541,和平家园南北通透中低层两居室有正规客厅，送露台。,和平街十区 , 2室1厅 , 66.4 ,49,34, 18天以前发布,580.0,87350,朝阳,116.429743,39.96941
2542,荟康苑 南北通透格局 三代同堂 有露台,荟康苑 , 4室2厅 , 105.15 ,129,19, 2个月以前发布,450.0,42797,朝阳,116.59088,39.924096
2543,合生国际花园全南二居室小区安静适合居住,合生国际花园 , 2室1厅 , 101.97 ,57,46, 5个月以前发布,1000.0,98069,朝阳,116.464603,39.905054
2544,丽港美度 06年板楼设计精装修 南向大两居业主诚意出售,丽港美度 , 2室2厅 , 84.39 ,410,70, 6个月以前发布,680.0,80579,朝阳,116.466294,39.995886
2545,满五年购房成本低，采光好，格局方正，无浪费面积,花家地西里三区 , 2室1厅 , 82.93 ,436,101, 5个月以前发布,480.0,57881,朝阳,116.464542,39.994386
2546,西南大两居 100米地铁 安静不临街 随时可看 随时签约,领地OFFICE , 2室2厅 , 96.22 ,49,92, 4个月以前发布,580.0,60279,朝阳,116.421209,40.046624
2547,东坝朝阳新城南北朝向3居，满五年 看房方便,朝阳新城五区 , 3室1厅 , 117.51 ,338,104, 2个月以前发布,550.0,46805,朝阳,116.566117,39.956661
2548,10AM新坐标 朝南一居室 70年商品房,10AM新坐标 , 1室1厅 , 50.94 ,137,86, 3个月以前发布,375.0,73617,朝阳,116.45053,39.874376
2549,远洋天地三期 西南两居 落地窗 采光佳,远洋天地三期 , 2室2厅 , 129.92 ,39,120, 3个月以前发布,870.0,66965,朝阳,116.498731,39.918076
2550,南北通透两居室 地铁7号线。。。。,金泰先锋北区 , 2室1厅 , 93 ,51,70, 3个月以前发布,750.0,80646,朝阳,116.506685,39.902187
2551,驼房营南里南北通透明厅两居诚意出售,驼房营南里 , 2室2厅 , 74.1 ,115,32, 1个月以前发布,408.0,55061,朝阳,116.509581,39.966366
2552,三环内带客厅两居室 业主诚心出售,静安东里 , 2室1厅 , 60.55 ,100,52, 2个月以前发布,420.0,69365,朝阳,116.457173,39.96476
2553,北京华侨城三居室 毛坯房 诚意出售,北京华侨城2号院 , 3室2厅 , 187.74 ,42,91, 2个月以前发布,1260.0,67115,朝阳,116.508983,39.871912
2554,澳林春天五期 2室1厅 868万,澳林春天五期 , 2室1厅 , 114.55 ,63,45, 3个月以前发布,868.0,75775,朝阳,116.375713,40.022195
2555,澳景花庭 婚房装修一居室 可拎包入住,澳景花庭 , 1室1厅 , 76.09 ,14,53, 2个月以前发布,660.0,86740,朝阳,116.371815,40.022013
2556,东景苑 三室一厅 130.75m?,东景苑 , 3室1厅 , 130.75 ,46,42, 1个月以前发布,660.0,50479,朝阳,116.473695,39.876155
2557,银领国际大一居室  户型方正 方便看房,银领国际 , 1室1厅 , 79.64 ,40,70, 1个月以前发布,550.0,69061,朝阳,116.461949,40.003018
2558,北京香颂 2室2厅 880万,北京香颂 , 2室2厅 , 107.75 ,68,51, 1个月以前发布,880.0,81671,朝阳,116.45968,39.999245
2559,欢乐谷 翠城馨园A区 精装修东西通透两居,翠成馨园 , 2室2厅 , 96.18 ,42,46, 1个月以前发布,529.0,55002,朝阳,116.517963,39.86507
2560,客厅带窗户，板楼二层，南北通透，进门对客厅,慧忠里 , 2室1厅 , 59.09 ,71,33, 4个月以前发布,540.0,91387,朝阳,116.409266,40.003413
