id,简介,小区,户型,面积,关注人数,观看次数,发布时间,房价,单价/平,城区,经纬度
6586,华清嘉园 3室1厅 900万,华清嘉园 , 3室1厅 , 74.7平米 ,60人关注 , 共55次带看 , 3个月以前发布,900,单价120482元/平米,海淀,"116.343714,39.996907"
6587,新华社家属楼 人文素质高 三室一厅 南北通透 看房随时,羊坊店路3号院 , 3室1厅 , 91.09平米 ,23人关注 , 共5次带看 , 19天以前发布,957,单价105061元/平米,海淀,"116.325489,39.911238"
6588,苏州街 南北通透两居 万泉学区 免税急售 有电梯,王公坟社区 , 2室1厅 , 55.63平米 ,83人关注 , 共49次带看 , 9个月以前发布,665,单价119540元/平米,海淀,"116.311823,39.97856"
6589,大河庄苑 04年花园居家 正规一居室 可以改两居,大河庄苑 , 1室0厅 , 73.33平米 ,240人关注 , 共52次带看 , 10个月以前发布,670,单价91368元/平米,海淀,"116.310205,39.987486"
6590,倒座庙小区 南北通透明厨明卫距离10号线苏州街站145米,倒座庙 , 2室1厅 , 58.9平米 ,21人关注 , 共1次带看 , 2个月以前发布,625,单价106113元/平米,海淀,"116.313347,39.981029"
6591,小南庄社区超好一居室，正对小区小花园,小南庄社区 , 1室1厅 , 46.54平米 ,73人关注 , 共5次带看 , 3个月以前发布,450,单价96692元/平米,海淀,"116.312131,39.970749"
6592,西三环北路86号院 2室1厅 820万,西三环北路86号院 , 2室1厅 , 73.53平米 ,7人关注 , 共4次带看 , 1个月以前发布,820,单价111520元/平米,海淀,"116.317018,39.932102"
6593,东王庄 1室1厅 426万,东王庄 , 1室1厅 , 46.9平米 ,28人关注 , 共2次带看 , 1个月以前发布,426,单价90832元/平米,海淀,"116.347007,40.004589"
6594,中关村西屋国际70年产权，八一学校,西屋国际 , 3室2厅 , 178.64平米 ,17人关注 , 共13次带看 , 1个月以前发布,1000,单价55979元/平米,海淀,"116.313262,39.986645"
6595,西郊宾馆 满五年 南北通透  低楼层,西郊宾馆 , 2室1厅 , 57.7平米 ,24人关注 , 共1次带看 , 1个月以前发布,496,单价85962元/平米,海淀,"116.349333,40.002448"
6596,美轮美奂 7米双层挑空复式6室 配套露台阁楼,万泉新新家园 , 6室2厅 , 385.41平米 ,68人关注 , 共10次带看 , 3个月以前发布,3850,单价99894元/平米,海淀,"116.305298,39.979471"
6597,倒座庙小区 南北通透明厨明卫距离10号线苏州街站145米,倒座庙 , 2室1厅 , 58.9平米 ,21人关注 , 共1次带看 , 2个月以前发布,625,单价106113元/平米,海淀,"116.313347,39.981029"
6598,会城门发改委东区 南北通透一居室 ,会城门小区 , 1室1厅 , 59.89平米 ,30人关注 , 共1次带看 , 2个月以前发布,530,单价88496元/平米,海淀,"116.340116,39.908814"
6599,学院路 城华园 正规一居室 可以改两居室 不临街,城华园 , 1室1厅 , 68.52平米 ,25人关注 , 共1次带看 , 2个月以前发布,490,单价71512元/平米,海淀,"116.358543,40.017542"
6600,育新花园 2室1厅 580万,育新花园 , 2室1厅 , 63.1平米 ,78人关注 , 共4次带看 , 2个月以前发布,580,单价91918元/平米,海淀,"116.352299,40.062427"
6601,泽丰苑二期 2室1厅 998万,泽丰苑二期 , 2室1厅 , 104平米 ,9人关注 , 共1次带看 , 2个月以前发布,998,单价95962元/平米,海淀,"116.266542,39.927777"
6602,青云北区 2室1厅 680万,青云北区 , 2室1厅 , 67.18平米 ,18人关注 , 共1次带看 , 1个月以前发布,680,单价101221元/平米,海淀,"116.340103,39.98"
6603,小南庄社区超好一居室，正对小区小花园,小南庄社区 , 1室1厅 , 46.54平米 ,73人关注 , 共5次带看 , 3个月以前发布,450,单价96692元/平米,海淀,"116.312131,39.970749"
6604,燕尚园 3室2厅 960万,燕尚园 , 3室2厅 , 132.35平米 ,49人关注 , 共1次带看 , 3个月以前发布,960,单价72535元/平米,海淀,"116.320907,40.055076"
6605,苏州街 南北通透两居 万泉学区 免税急售 有电梯,王公坟社区 , 2室1厅 , 55.63平米 ,83人关注 , 共49次带看 , 9个月以前发布,665,单价119540元/平米,海淀,"116.311823,39.97856"
6606,永定路15号院 南向两居 满五年,永定路15号 , 2室1厅 , 46.2平米 ,14人关注 , 共1次带看 , 1个月以前发布,450,单价97403元/平米,海淀,"116.270316,39.924472"
6607,紫竹院南路20号院 2室1厅 450万,紫竹院南路20号院 , 2室1厅 , 44.5平米 ,13人关注 , 共1次带看 , 1个月以前发布,450,单价101124元/平米,海淀,"116.327077,39.942373"
6608,房子满五年在京无其他房产 南向 诚意出售,城华园 , 2室1厅 , 64.44平米 ,74人关注 , 共3次带看 , 1个月以前发布,445,单价69057元/平米,海淀,"116.358543,40.017542"
6609,花园北路乙28号院 3室1厅 620万,花园北路乙28号院 , 3室1厅 , 70.1平米 ,46人关注 , 共18次带看 , 29天以前发布,620,单价88446元/平米,海淀,"116.380145,39.985424"
6610,五一！南北两居室，小区安静干净，配套齐全交通方便,永定路东街5号院 , 2室1厅 , 64.73平米 ,23人关注 , 共13次带看 , 29天以前发布,600,单价92693元/平米,海淀,"116.272371,39.912027"
6611,交大东路31号院 南北通透  精装修三居室  拎包入住,交大东路31号院 , 3室1厅 , 73平米 ,36人关注 , 共19次带看 , 23天以前发布,720,单价98631元/平米,海淀,"116.354988,39.956353"
6612,三义庙北 南北通透 小三居 不临街 位置安静,三义庙北 , 3室1厅 , 71.22平米 ,26人关注 , 共11次带看 , 23天以前发布,670,单价94075元/平米,海淀,"116.318374,39.971443"
6613,罗庄西里 东南大居室 25平米大客厅 高层无遮挡,罗庄西里 , 2室1厅 , 84.4平米 ,26人关注 , 共10次带看 , 21天以前发布,690,单价81754元/平米,海淀,"116.351677,39.980567"
6614,满五年央产房  南北通透  全天采光  格局方正,双榆树东里 , 2室1厅 , 54.7平米 ,32人关注 , 共17次带看 , 17天以前发布,550,单价100549元/平米,海淀,"116.333303,39.974734"
6615,中湾国际高层北向一居室可观北大夜景落户可上八一,中湾国际 , 1室1厅 , 65.81平米 ,13人关注 , 共15次带看 , 16天以前发布,560,单价85094元/平米,海淀,"116.31364,39.987352"
6616,西直门 钻河公馆 交通便利 不限购 精装修 ,钻河公馆 , 1室0厅 , 56.81平米 ,189人关注 , 共117次带看 , 4个月以前发布,260,单价45767元/平米,海淀,"116.356102,39.950445"
6617,华清嘉园 3室2厅 1500万,华清嘉园 , 3室2厅 , 135.44平米 ,61人关注 , 共88次带看 , 7个月以前发布,1500,单价110751元/平米,海淀,"116.343714,39.996907"
6618,文林大厦 1室1厅 355万,文林大厦 , 1室1厅 , 49.68平米 ,235人关注 , 共40次带看 , 5个月以前发布,355,单价71458元/平米,海淀,"116.349153,39.968146"
6619,唐宁one位置好 随时看、 开发商送装修，送车位！,龙湖唐宁one , 4室2厅 , 380平米 ,78人关注 , 共28次带看 , 一年前发布,3420,单价90000元/平米,海淀,"116.340959,39.994651"
6620,南北朝向2居室 全明格局  距离地铁1号线325米,翠微路2号院 , 2室1厅 , 64.3平米 ,20人关注 , 共31次带看 , 3个月以前发布,660,单价102644元/平米,海淀,"116.305063,39.91533"
6621,花园公寓2007年的商品房诚心出售,花园公寓 , 2室1厅 , 82.41平米 ,34人关注 , 共25次带看 , 31天以前发布,730,单价88582元/平米,海淀,"116.377339,39.983461"
6622,翠微东里精装二居室 南北通透 全明格局看房随时,翠微东里 , 2室1厅 , 64.4平米 ,36人关注 , 共28次带看 , 30天以前发布,575,单价89286元/平米,海淀,"116.308305,39.920751"
6623,强佑清河新城 北向开间 看房方便,强佑清河新城 , 1室0厅 , 62.7平米 ,51人关注 , 共40次带看 , 1个月以前发布,380,单价60607元/平米,海淀,"116.354191,40.035178"
6624,静淑苑 2室1厅 670万,静淑苑 , 2室1厅 , 76.4平米 ,46人关注 , 共135次带看 , 2个月以前发布,670,单价87697元/平米,海淀,"116.357301,40.011499"
6625,辉煌国际 商住两用 不限购 可以注册办公,辉煌国际 , 1室0厅 , 56.19平米 ,91人关注 , 共6次带看 , 1个月以前发布,195,单价34704元/平米,海淀,"116.308648,40.059182"
6626,六建    2室1厅    435万,六建 , 2室1厅 , 67平米 ,131人关注 , 共88次带看 , 6个月以前发布,435,单价64926元/平米,海淀,"116.273525,39.912989"
6627,西直门北大街明光村小区精装三居出售,明光村小区 , 2室2厅 , 72.6平米 ,69人关注 , 共38次带看 , 3个月以前发布,630,单价86777元/平米,海淀,"116.359841,39.962265"
6628,黄平路八号院 满五年公房 看房提前打电话 随时签约,黄平路8号院 , 2室1厅 , 60.89平米 ,270人关注 , 共67次带看 , 2个月以前发布,340,单价55839元/平米,海淀,"116.354472,40.069962"
6629,燕清源南向开间，中间楼层，两梯三户，看房方便。,燕清源 , 1室0厅 , 42.08平米 ,77人关注 , 共32次带看 , 2个月以前发布,340,单价80799元/平米,海淀,"116.348101,40.040414"
6630,枫丹丽舍 海淀花园洋房精装修 满五年停车免费 南北3居,枫丹丽舍 , 3室2厅 , 131平米 ,57人关注 , 共21次带看 , 1个月以前发布,950,单价72520元/平米,海淀,"116.369475,40.069842"
6631,甘家口阜北小区 朝南 低楼层 两居室,阜北小区 , 2室1厅 , 51.2平米 ,86人关注 , 共34次带看 , 2个月以前发布,530,单价103516元/平米,海淀,"116.340299,39.929294"
6632,西直门 金晖嘉园西南两居室 业主自住诚意出售 观景房,金晖嘉园 , 2室1厅 , 104.97平米 ,143人关注 , 共82次带看 , 8个月以前发布,1050,单价100029元/平米,海淀,"116.365503,39.951446"
6633,中关村一小 2居室低楼层不临街业主诚售航天社区！,航天社区 , 2室1厅 , 64.5平米 ,98人关注 , 共75次带看 , 9个月以前发布,770,单价119380元/平米,海淀,"116.338009,39.985193"
6634,北二环文慧园精装修2001年塔楼三居,文慧园 , 3室1厅 , 93.5平米 ,63人关注 , 共27次带看 , 1个月以前发布,800,单价85562元/平米,海淀,"116.368957,39.954839"
6635,【玉泉小学】南北通透四室两厅两卫 复式 落地窗带露台,玉海园三里 , 4室2厅 , 138.67平米 ,113人关注 , 共11次带看 , 1个月以前发布,680,单价49038元/平米,海淀,"116.263038,39.926362"
6636,南北通透6+7复式业主自住精装修房况棒,中关村南大街甲8号 , 4室2厅 , 176.05平米 ,41人关注 , 共15次带看 , 1个月以前发布,1600,单价90884元/平米,海淀,"116.336547,39.968916"
6637,烟树园 方正两居室  居家装修 ,烟树园 , 2室1厅 , 89.36平米 ,52人关注 , 共76次带看 , 4个月以前发布,820,单价91764元/平米,海淀,"116.2853,39.968624"
6638,中海馥园，优质大两居，诚心出售。,中海馥园 , 2室1厅 , 93.85平米 ,43人关注 , 共36次带看 , 1个月以前发布,940,单价100160元/平米,海淀,"116.327941,39.934006"
6639,定慧西里 双卧朝南 满五年 视野好 ,定慧西里 , 2室1厅 , 72.8平米 ,109人关注 , 共42次带看 , 1个月以前发布,525,单价72116元/平米,海淀,"116.288489,39.928841"
6640,上地东里 3室1厅 900万,上地东里 , 3室1厅 , 73.6平米 ,48人关注 , 共40次带看 , 1个月以前发布,900,单价122283元/平米,海淀,"116.320453,40.039032"
6641,房子南北通透，低楼层，满二年，目前出租，看房方便。,上地南路6号院 , 2室1厅 , 87.94平米 ,110人关注 , 共65次带看 , 2个月以前发布,615,单价69935元/平米,海淀,"116.322845,40.035467"
6642,紫竹院小区 南向一居室 全新装修 交通方便,紫竹院小区 , 1室1厅 , 38.99平米 ,66人关注 , 共13次带看 , 26天以前发布,380,单价97461元/平米,海淀,"116.314104,39.948603"
6643,月季园小区  双南向 两居室 中间层 无遮挡 带电梯,月季园 , 2室1厅 , 65.1平米 ,58人关注 , 共15次带看 , 24天以前发布,570,单价87558元/平米,海淀,"116.381497,39.97775"
6644,西山林语南北向两居 前无遮挡 观西山山景 直通地库 ,保利西山林语 , 2室1厅 , 90.33平米 ,23人关注 , 共11次带看 , 20天以前发布,610,单价67531元/平米,海淀,"116.220283,40.043636"
6645,雅世合金公寓 2室1厅 740万,雅世合金公寓 , 2室1厅 , 82.42平米 ,20人关注 , 共9次带看 , 22天以前发布,740,单价89785元/平米,海淀,"116.272216,39.933962"
6646,西山别墅，燕西台联排，精装4居室，带花园和车库,燕西台 , 联排别墅 , 4室3厅 ,31人关注 , 共23次带看 , 一年前发布,2700,单价83755元/平米,海淀,"116.231134,39.952483"
6647,香山清琴山庄一期精装修大独栋可以拎包入住,香山清琴 , 独栋别墅 , 7室3厅 ,44人关注 , 共27次带看 , 10个月以前发布,7000,单价145181元/平米,海淀,"116.231133,39.976265"
6648,房子位于三环里，世纪经贸大厦，周边配套完善,世纪经贸大厦 , 1室1厅 , 97.21平米 ,1人关注 , 共0次带看 , 4个月以前发布,450,单价46292元/平米,海淀,"116.317962,39.935447"
6649,榆苑公寓 2室1厅 430万,榆苑公寓 , 2室1厅 , 54.8平米 ,180人关注 , 共14次带看 , 5个月以前发布,430,单价78468元/平米,海淀,"116.337248,39.979176"
6650,五月华庭 1室0厅 370万,五月华庭 , 1室0厅 , 43.07平米 ,74人关注 , 共30次带看 , 3个月以前发布,370,单价85907元/平米,海淀,"116.375366,39.958063"
6651,业主诚心出售全明格局一居 98新房,翠微路2号院 , 1室1厅 , 45.4平米 ,39人关注 , 共0次带看 , 2个月以前发布,495,单价109031元/平米,海淀,"116.305063,39.91533"
6652,昌运宫   业主诚心出售 满五年公房,昌运宫 , 1室1厅 , 46.9平米 ,25人关注 , 共0次带看 , 2个月以前发布,295,单价62900元/平米,海淀,"116.318914,39.945638"
6653,蓟门南里 2室1厅 545万,蓟门南里 , 2室1厅 , 61.5平米 ,46人关注 , 共0次带看 , 2个月以前发布,545,单价88618元/平米,海淀,"116.35699,39.974823"
6654,西山国际城 不限购商品房 民水商电,西山国际城 , 1室1厅 , 36.96平米 ,30人关注 , 共31次带看 , 1个月以前发布,260,单价70347元/平米,海淀,"116.235511,39.93305"
6655,普惠南里 2室1厅 588万,普惠南里 , 2室1厅 , 57.6平米 ,3人关注 , 共0次带看 , 1个月以前发布,588,单价102084元/平米,海淀,"116.312809,39.917802"
6656,业主诚心出售全明格局一居 98新房,翠微路2号院 , 1室1厅 , 45.4平米 ,39人关注 , 共0次带看 , 2个月以前发布,495,单价109031元/平米,海淀,"116.305063,39.91533"
6657,永泰东里 2室1厅 465万,永泰东里 , 2室1厅 , 73平米 ,86人关注 , 共13次带看 , 4个月以前发布,465,单价63699元/平米,海淀,"116.367137,40.040209"
6658,榆苑公寓 2室1厅 430万,榆苑公寓 , 2室1厅 , 54.8平米 ,180人关注 , 共14次带看 , 5个月以前发布,430,单价78468元/平米,海淀,"116.337248,39.979176"
6659,五月华庭 1室0厅 370万,五月华庭 , 1室0厅 , 43.07平米 ,74人关注 , 共30次带看 , 3个月以前发布,370,单价85907元/平米,海淀,"116.375366,39.958063"
6660,房子位于三环里，世纪经贸大厦，周边配套完善,世纪经贸大厦 , 1室1厅 , 97.21平米 ,1人关注 , 共0次带看 , 4个月以前发布,450,单价46292元/平米,海淀,"116.317962,39.935447"
6661,万泉新新顶层南北通透复式带双车位！,万泉新新家园 , 5室2厅 , 330.86平米 ,28人关注 , 共11次带看 , 1个月以前发布,3500,单价105785元/平米,海淀,"116.305298,39.979471"
6662,安宁里 2室1厅 470万,安宁里 , 2室1厅 , 68.4平米 ,51人关注 , 共12次带看 , 2个月以前发布,470,单价68714元/平米,海淀,"116.336327,40.052479"
6663,房子满五年！低楼层！南北通透！,永定路17号院 , 2室1厅 , 58.3平米 ,49人关注 , 共0次带看 , 2个月以前发布,380,单价65181元/平米,海淀,"116.270646,39.92721"
6664,富力桃园A区 2室1厅 605万,富力桃园A区 , 2室1厅 , 86.95平米 ,51人关注 , 共11次带看 , 4个月以前发布,605,单价69581元/平米,海淀,"116.384155,40.070139"
6665,恩济庄46号院 3室1厅 745万,恩济庄46号院 , 3室1厅 , 127.89平米 ,113人关注 , 共17次带看 , 4个月以前发布,745,单价58254元/平米,海淀,"116.290455,39.938518"
6666,知春嘉园  西南向复式  满五年少税费,知春嘉园 , 3室2厅 , 153平米 ,32人关注 , 共18次带看 , 1个月以前发布,1280,单价83661元/平米,海淀,"116.354228,39.982477"
6667,三义庙北 一层朝南一居室 满五年公房,三义庙北 , 1室1厅 , 46.12平米 ,110人关注 , 共71次带看 , 1个月以前发布,320,单价69385元/平米,海淀,"116.318374,39.971443"
6668,高巢小区 开间户型 业主诚心出售 05年小区有电梯,高巢 , 1室0厅 , 55.23平米 ,33人关注 , 共12次带看 , 2个月以前发布,390,单价70614元/平米,海淀,"116.364987,40.036611"
6669,立方庭东向一居室 复式结构 业主诚心出售,立方庭 , 1室1厅 , 42.86平米 ,22人关注 , 共16次带看 , 1个月以前发布,490,单价114326元/平米,海淀,"116.315345,39.986669"
6670,皂君东里 中间楼层南北双阳台三居室 好房诚心卖,皂君东里 , 3室1厅 , 78.3平米 ,48人关注 , 共10次带看 , 21天以前发布,770,单价98340元/平米,海淀,"116.343001,39.964408"
6671,皂君东里 2室1厅 500万,皂君东里 , 2室1厅 , 69.8平米 ,59人关注 , 共6次带看 , 19天以前发布,500,单价71634元/平米,海淀,"116.343001,39.964408"
6672,皂君庙14号院 2室2厅 1276万,皂君庙14号院 , 2室2厅 , 130平米 ,7人关注 , 共8次带看 , 29天以前发布,1276,单价98154元/平米,海淀,"116.344572,39.966944"
6673,翠微东里 3室1厅 950万,翠微东里 , 3室1厅 , 76.6平米 ,16人关注 , 共13次带看 , 24天以前发布,950,单价124021元/平米,海淀,"116.308305,39.920751"
6674,领秀硅谷 4室2厅 1650万,领秀硅谷 , 4室2厅 , 194平米 ,4人关注 , 共16次带看 , 1个月以前发布,1650,单价85052元/平米,海淀,"116.320895,40.061583"
6675,知本时代 3室1厅 730万,知本时代 , 3室1厅 , 122.86平米 ,57人关注 , 共21次带看 , 1个月以前发布,730,单价59418元/平米,海淀,"116.364365,40.069487"
6676,满二 一层无遮挡  小区主力户型三居 诚意售，方便看,保利西山林语 , 3室1厅 , 91.73平米 ,73人关注 , 共25次带看 , 1个月以前发布,585,单价63775元/平米,海淀,"116.220283,40.043636"
6677,满五年正规一居室 高楼层 采光好，人车分流小区,今典花园 , 1室1厅 , 53.55平米 ,72人关注 , 共25次带看 , 2个月以前发布,480,单价89636元/平米,海淀,"116.367818,39.959568"
6678,电科院正规四居室 南北通透 随时签约 有钥匙,小营东路6号院 , 4室1厅 , 87.1平米 ,79人关注 , 共31次带看 , 4个月以前发布,609,单价69920元/平米,海淀,"116.356969,40.045057"
6679,高楼层  看房子有钥匙   诚意卖,保利西山林语 , 2室1厅 , 90.4平米 ,44人关注 , 共64次带看 , 3个月以前发布,620,单价68585元/平米,海淀,"116.220283,40.043636"
6680,万泉小学 飞达社区 全明格局 西南北两居室,万泉河62号院 , 2室1厅 , 64.13平米 ,47人关注 , 共23次带看 , 2个月以前发布,670,单价104476元/平米,海淀,"116.309268,39.979082"
6681,保利西山林语 2室1厅 630万,保利西山林语 , 2室1厅 , 96.94平米 ,113人关注 , 共220次带看 , 4个月以前发布,630,单价64989元/平米,海淀,"116.220283,40.043636"
6682,高楼层  看房子有钥匙   诚意卖,保利西山林语 , 2室1厅 , 90.4平米 ,44人关注 , 共64次带看 , 3个月以前发布,620,单价68585元/平米,海淀,"116.220283,40.043636"
6683,满二 一层无遮挡  小区主力户型三居 诚意售，方便看,保利西山林语 , 3室1厅 , 91.73平米 ,73人关注 , 共25次带看 , 1个月以前发布,585,单价63775元/平米,海淀,"116.220283,40.043636"
6684,八里庄北里 3室1厅 910万,八里庄北里 , 3室1厅 , 95.6平米 ,18人关注 , 共26次带看 , 2个月以前发布,910,单价95189元/平米,海淀,"116.298736,39.934527"
6685,车公庄西路45号院 2室1厅 480万,车公庄西路45号院 , 2室1厅 , 54平米 ,105人关注 , 共145次带看 , 5个月以前发布,480,单价88889元/平米,海淀,"116.318035,39.938828"
6686,花园北路乙28号院 2室1厅 473万,花园北路乙28号院 , 2室1厅 , 49.59平米 ,73人关注 , 共93次带看 , 3个月以前发布,473,单价95383元/平米,海淀,"116.380145,39.985424"
6687,育新电梯三居，有名额，低总价诚售，靠谱签约,育新花园 , 3室2厅 , 98.1平米 ,152人关注 , 共92次带看 , 9个月以前发布,758,单价77269元/平米,海淀,"116.352299,40.062427"
6688,"精装修四居室，家具家电全齐，带阳台,拎包入住",西山壹号院 , 4室2厅 , 238平米 ,67人关注 , 共29次带看 , 2个月以前发布,2500,单价105043元/平米,海淀,"116.275723,40.046164"
6689,马连洼菊园精装三居室 明厨明卫  业主自住,菊园 , 3室1厅 , 86.66平米 ,101人关注 , 共48次带看 , 4个月以前发布,650,单价75006元/平米,海淀,"116.296408,40.039756"
6690,南向大三居 物业管理好 公园旁环境好,美林花园 , 3室2厅 , 201平米 ,109人关注 , 共132次带看 , 3个月以前发布,1600,单价79602元/平米,海淀,"116.313222,39.952186"
6691,曙光花园 南北通透三居 满二年 出行方便,曙光花园 , 4室2厅 , 142.53平米 ,45人关注 , 共33次带看 , 2个月以前发布,1160,单价81387元/平米,海淀,"116.296249,39.949325"
6692,增光佳苑 采光好 视野好 楼龄新，车位充足,增光佳苑 , 2室2厅 , 149.99平米 ,42人关注 , 共41次带看 , 2个月以前发布,1110,单价74005元/平米,海淀,"116.331973,39.935308"
6693,塔院板楼精装修无遮挡双南向两居出售,塔院小区 , 2室1厅 , 58.1平米 ,108人关注 , 共40次带看 , 1个月以前发布,505,单价86920元/平米,海淀,"116.365562,39.982896"
6694,中关村双榆树两居室南北通透 房子精装修 业主诚意出售,双榆树东里 , 2室1厅 , 54.6平米 ,96人关注 , 共56次带看 , 4个月以前发布,525,单价96154元/平米,海淀,"116.333303,39.974734"
6695,建清园 2室1厅 460万,建清园 , 2室1厅 , 62.3平米 ,147人关注 , 共32次带看 , 1个月以前发布,460,单价73837元/平米,海淀,"116.354713,40.02098"
6696,远大园五区 不临街中间楼层 可观花园两居室 满五年,远大园五区 , 2室2厅 , 137.34平米 ,25人关注 , 共48次带看 , 1个月以前发布,1370,单价99753元/平米,海淀,"116.289427,39.959175"
6697,兰德华庭南北通透三居室 视野好,兰德华庭 , 3室2厅 , 130.83平米 ,41人关注 , 共41次带看 , 2个月以前发布,970,单价74143元/平米,海淀,"116.258944,39.934331"
6698,领秀硅谷三室两厅 南北双通透 落地窗,领秀硅谷 , 3室2厅 , 150平米 ,98人关注 , 共38次带看 , 2个月以前发布,980,单价65334元/平米,海淀,"116.320895,40.061583"
6699,铭科苑 南向两居室 中高楼层 成本价公房 诚意出售,铭科苑 , 2室1厅 , 80.97平米 ,50人关注 , 共32次带看 , 1个月以前发布,558,单价68915元/平米,海淀,"116.321953,40.058245"
6700,罗庄南里 2室1厅 550万,罗庄南里 , 2室1厅 , 61.4平米 ,14人关注 , 共1次带看 , 13天以前发布,550,单价89577元/平米,海淀,"116.354369,39.978114"
6701,新起点嘉园 南向二居 户型好 朝向好,新起点嘉园 , 2室1厅 , 120.1平米 ,67人关注 , 共43次带看 , 10个月以前发布,1200,单价99917元/平米,海淀,"116.310598,39.967559"
6702,紫金三居可改四居 育英学校 高楼层 有车位 精装修,紫金长安 , 3室2厅 , 198.94平米 ,53人关注 , 共81次带看 , 7个月以前发布,2050,单价103047元/平米,海淀,"116.289102,39.923448"
6703,一层不临街 双卧朝南两居室 满两年无抵押,晨月园 , 2室2厅 , 89.07平米 ,60人关注 , 共33次带看 , 4个月以前发布,750,单价84204元/平米,海淀,"116.288983,39.964722"
6704,上地东里眼镜户型两居室、中间楼层,上地东里 , 2室1厅 , 85平米 ,69人关注 , 共39次带看 , 4个月以前发布,780,单价91765元/平米,海淀,"116.320453,40.039032"
6705,五棵松六建带电梯满五年南北双阳台三居室,六建 , 3室1厅 , 79.3平米 ,50人关注 , 共32次带看 , 2个月以前发布,628,单价79193元/平米,海淀,"116.273525,39.912989"
6706,燕北园南北三居，随时签约。看房提前打电话，不委托。,燕北园 , 3室1厅 , 73.4平米 ,71人关注 , 共32次带看 , 2个月以前发布,650,单价88556元/平米,海淀,"116.292974,40.015093"
6707,世纪城金夕园东北向三居室，户型方正，交通便利！,金夕园 , 3室2厅 , 125平米 ,66人关注 , 共36次带看 , 2个月以前发布,1150,单价92000元/平米,海淀,"116.284543,39.967085"
6708,光大花园三居室，无个税，可接受换房，不临街,光大花园 , 3室2厅 , 135.55平米 ,48人关注 , 共51次带看 , 2个月以前发布,1499,单价110587元/平米,海淀,"116.30693,39.970029"
6709,宏嘉丽园 精装3居 东南朝向 无遮挡 看房方便,宏嘉丽园 , 3室2厅 , 153.81平米 ,42人关注 , 共37次带看 , 2个月以前发布,1450,单价94273元/平米,海淀,"116.355271,39.978964"
6710,视野好税费少，商品楼双卫两居室，主卧室朝南向,华清嘉园 , 2室1厅 , 90.33平米 ,46人关注 , 共62次带看 , 2个月以前发布,1000,单价110706元/平米,海淀,"116.343714,39.996907"
6711,西八里庄北里南北向两居室精装修,八里庄北里 , 2室2厅 , 77.89平米 ,74人关注 , 共34次带看 , 2个月以前发布,690,单价88587元/平米,海淀,"116.298736,39.934527"
6712,建清园 2室1厅 460万,建清园 , 2室1厅 , 62.3平米 ,147人关注 , 共32次带看 , 1个月以前发布,460,单价73837元/平米,海淀,"116.354713,40.02098"
6713,罗庄东里  中间楼层南北向两居室  采光好  有钥匙,罗庄东里 , 2室1厅 , 61.73平米 ,27人关注 , 共42次带看 , 22天以前发布,585,单价94768元/平米,海淀,"116.353009,39.980769"
6714,西钓鱼台嘉园 3室2厅 1430万,西钓鱼台嘉园 , 3室2厅 , 150.66平米 ,128人关注 , 共36次带看 , 3个月以前发布,1430,单价94916元/平米,海淀,"116.305898,39.926084"
6715,前沙涧路7号院 2室1厅 350万,前沙涧路7号院 , 2室1厅 , 88.8平米 ,87人关注 , 共7次带看 , 1个月以前发布,350,单价39415元/平米,海淀,"116.152698,40.116606"
6716,玉海园五里 1室2厅 445万,玉海园五里 , 1室2厅 , 55.5平米 ,40人关注 , 共7次带看 , 2个月以前发布,445,单价80181元/平米,海淀,"116.264969,39.927867"
6717,燕清源 2室1厅 730万,燕清源 , 2室1厅 , 104.46平米 ,21人关注 , 共7次带看 , 1个月以前发布,730,单价69884元/平米,海淀,"116.348101,40.040414"
6718,建西苑南北通透两居，落地飘窗房本满五年,金隅嘉业 , 2室1厅 , 92平米 ,88人关注 , 共48次带看 , 3个月以前发布,530,单价57609元/平米,海淀,"116.215118,39.923024"
6719,万城华府 4室2厅 4600万,万城华府 , 4室2厅 , 332.62平米 ,35人关注 , 共10次带看 , 7个月以前发布,4600,单价138296元/平米,海淀,"116.297761,39.9767"
6720,美丽园 3室2厅 1520万,美丽园 , 3室2厅 , 144.34平米 ,66人关注 , 共28次带看 , 4个月以前发布,1520,单价105307元/平米,海淀,"116.28549,39.944499"
6721,上地佳园 尚品公寓 带装修开间 诚意出售,尚品公寓 , 1室0厅 , 62.65平米 ,29人关注 , 共47次带看 , 10个月以前发布,620,单价98963元/平米,海淀,"116.323027,40.040979"
6722,阜南小区 2室1厅 485万,阜南小区 , 2室1厅 , 54.2平米 ,63人关注 , 共46次带看 , 6个月以前发布,485,单价89484元/平米,海淀,"116.333797,39.927927"
6723,稻香园 2室1厅 620万,稻香园 , 2室1厅 , 58.1平米 ,94人关注 , 共9次带看 , 1个月以前发布,620,单价106713元/平米,海淀,"116.308152,39.986695"
6724,北太平庄路2号院 2室1厅 800万,北太平庄路2号院 , 2室1厅 , 93.32平米 ,104人关注 , 共7次带看 , 3个月以前发布,800,单价85727元/平米,海淀,"116.378034,39.980771"
6725,满五年精装修，双卧向南两居室， 看房方便,城华园 , 2室1厅 , 66.4平米 ,28人关注 , 共21次带看 , 2个月以前发布,550,单价82832元/平米,海淀,"116.358543,40.017542"
